22 Sep 2022 - 11:04:11.587 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 Sep 2022 - 11:04:11.596 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 3 JPA repository interfaces.
22 Sep 2022 - 11:04:11.665 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
22 Sep 2022 - 11:04:11.666 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
22 Sep 2022 - 11:04:11.666 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
22 Sep 2022 - 11:04:11.666 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
22 Sep 2022 - 11:04:11.666 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
22 Sep 2022 - 11:04:11.667 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 Sep 2022 - 11:04:11.667 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
22 Sep 2022 - 11:04:11.678 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 Sep 2022 - 11:04:11.678 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 247 ms
22 Sep 2022 - 11:04:11.703 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22 Sep 2022 - 11:04:11.706 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
22 Sep 2022 - 11:04:11.719 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
22 Sep 2022 - 11:04:11.719 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
22 Sep 2022 - 11:04:11.888 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22 Sep 2022 - 11:04:11.888 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22 Sep 2022 - 11:04:11.996 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22 Sep 2022 - 11:04:12.018 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
22 Sep 2022 - 11:04:12.053 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
22 Sep 2022 - 11:04:12.099 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
22 Sep 2022 - 11:04:12.100 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
22 Sep 2022 - 11:04:12.101 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
22 Sep 2022 - 11:04:12.104 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
22 Sep 2022 - 11:04:12.188 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - Started CollegemanagementsystemrestApplication in 0.775 seconds (JVM running for 50.596)
22 Sep 2022 - 11:04:12.190 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
22 Sep 2022 - 11:04:16.066 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22 Sep 2022 - 11:04:16.066 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22 Sep 2022 - 11:04:16.068 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
22 Sep 2022 - 11:07:14.358 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
22 Sep 2022 - 11:07:14.386 [Thread-7] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
22 Sep 2022 - 11:07:14.386 [Thread-7] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
22 Sep 2022 - 11:07:14.393 [Thread-7] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 Sep 2022 - 11:07:14.394 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
22 Sep 2022 - 11:07:14.401 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
22 Sep 2022 - 11:07:14.470 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - Starting CollegemanagementsystemrestApplication using Java 17.0.3 on LAPTOP-BLGNIC5O with PID 4700 (E:\FDP\collegemanagementsystemrest\target\classes started by HP in E:\FDP\collegemanagementsystemrest)
22 Sep 2022 - 11:07:14.470 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - No active profile set, falling back to 1 default profile: "default"
22 Sep 2022 - 11:07:14.650 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 Sep 2022 - 11:07:14.661 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 3 JPA repository interfaces.
22 Sep 2022 - 11:07:14.731 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
22 Sep 2022 - 11:07:14.731 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
22 Sep 2022 - 11:07:14.731 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
22 Sep 2022 - 11:07:14.731 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
22 Sep 2022 - 11:07:14.731 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
22 Sep 2022 - 11:07:14.732 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 Sep 2022 - 11:07:14.732 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
22 Sep 2022 - 11:07:14.743 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 Sep 2022 - 11:07:14.743 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 271 ms
22 Sep 2022 - 11:07:14.775 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22 Sep 2022 - 11:07:14.779 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
22 Sep 2022 - 11:07:14.802 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
22 Sep 2022 - 11:07:14.802 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
22 Sep 2022 - 11:07:14.986 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22 Sep 2022 - 11:07:14.986 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22 Sep 2022 - 11:07:15.099 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22 Sep 2022 - 11:07:15.118 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
22 Sep 2022 - 11:07:15.148 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
22 Sep 2022 - 11:07:15.187 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
22 Sep 2022 - 11:07:15.188 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
22 Sep 2022 - 11:07:15.188 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
22 Sep 2022 - 11:07:15.191 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
22 Sep 2022 - 11:07:15.260 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - Started CollegemanagementsystemrestApplication in 0.805 seconds (JVM running for 233.668)
22 Sep 2022 - 11:07:15.262 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
22 Sep 2022 - 11:10:09.517 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
22 Sep 2022 - 11:10:09.534 [Thread-11] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
22 Sep 2022 - 11:10:09.542 [Thread-11] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 Sep 2022 - 11:10:09.543 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
22 Sep 2022 - 11:10:09.548 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
22 Sep 2022 - 11:10:09.606 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - Starting CollegemanagementsystemrestApplication using Java 17.0.3 on LAPTOP-BLGNIC5O with PID 4700 (E:\FDP\collegemanagementsystemrest\target\classes started by HP in E:\FDP\collegemanagementsystemrest)
22 Sep 2022 - 11:10:09.606 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - No active profile set, falling back to 1 default profile: "default"
22 Sep 2022 - 11:10:09.755 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 Sep 2022 - 11:10:09.763 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 3 JPA repository interfaces.
22 Sep 2022 - 11:10:09.827 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
22 Sep 2022 - 11:10:09.828 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
22 Sep 2022 - 11:10:09.828 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
22 Sep 2022 - 11:10:09.828 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
22 Sep 2022 - 11:10:09.828 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
22 Sep 2022 - 11:10:09.828 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 Sep 2022 - 11:10:09.828 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
22 Sep 2022 - 11:10:09.839 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
